,cars,demands,labels,locations,megacluster,streetName,streetSide,clusterID
2158,1.102564103,0.128205128,B445213,"[445574.2358, 4643284.954]",0,N SEMINARY AVE,W,13
2159,1.307692308,0.205128205,B445214,"[445577.162, 4643289.695]",0,N SEMINARY AVE,E,13
2160,6.342105263,1.026315789,B445215,"[445635.2808, 4643307.803]",0,W BELMONT AVE,S,13
2161,1.102564103,0.076923077,B445216,"[445678.2258, 4643282.608]",0,N KENMORE AVE,E,13
2162,3.075,0.3,B445217,"[445723.9547, 4643308.953]",0,W BELMONT AVE,S,13
2163,0.256410256,0.0,B445218,"[445473.4173, 4643323.997]",0,N CLIFTON AVE,W,13
2164,3.625,0.625,B446201,"[446581.0341, 4643501.612]",0,N BROADWAY ST,E,13
2165,5.888888889,0.5,B446202,"[446579.0603, 4643586.526]",0,N BROADWAY ST,E,13
2166,4.888888889,0.388888889,B446203,"[446529.2645, 4643735.651]",0,N BROADWAY ST,E,13
2167,1.333333333,0.0,B446204,"[446487.4771, 4643833.322]",0,N BROADWAY ST,E,13
2168,1.764705882,0.411764706,B446205,"[446495.8001, 4643860.894]",0,W STRATFORD PL,S,13
2169,1.333333333,0.333333333,B446206,"[446456.6857, 4643900.064]",0,N BROADWAY ST,E,13
2170,1.944444444,0.222222222,B446207,"[446484.9116, 4643832.234]",0,N BROADWAY ST,W,13
2171,2.944444444,0.388888889,B446209,"[446565.6645, 4643645.773]",0,N BROADWAY ST,W,13
2172,0.941176471,0.117647059,B446211,"[446557.027, 4643620.806]",0,W BUCKINGHAM PL,S,13
2173,3.8125,0.3125,B446212,"[446576.6346, 4643567.106]",0,N BROADWAY ST,W,13
2174,0.1875,0.0625,B446213,"[446552.5124, 4643523.038]",0,W ALDINE AVE,N,13
2175,0.736842105,0.052631579,B446214,"[446609.3632, 4643565.42]",0,W ALDINE AVE,N,13
2176,0.782608696,0.130434783,B446215,"[446611.1066, 4643442.405]",0,W MELROSE ST,N,13
2177,0.555555556,0.055555556,B446217,"[446613.18, 4643562.899]",0,W ALDINE AVE,S,13
2178,0.777777778,0.055555556,B446218,"[446601.8476, 4643682.328]",0,W ROSCOE ST,S,13
2179,0.611111111,0.166666667,B446219,"[446505.9517, 4643725.305]",0,W ROSCOE ST,N,13
2180,0.411764706,0.117647059,B446220,"[446515.3249, 4643722.576]",0,W ROSCOE ST,S,13
2181,0.941176471,0.176470588,B446221,"[446555.8256, 4643623.639]",0,W BUCKINGHAM PL,N,13
2182,0.6875,0.125,B446222,"[446453.1797, 4643929.053]",0,W CORNELIA AVE,S,13
2183,4.596153846,0.615384615,B447102,"[446158.4625, 4644387.543]",0,N HALSTED ST,W,13
2184,7.377358491,0.867924528,B447103,"[446163.0397, 4644260.571]",0,N HALSTED ST,W,13
2185,5.017241379,0.844827586,B447104,"[446170.0074, 4644233.115]",0,N HALSTED ST,E,13
2186,1.789473684,0.684210526,B447105,"[446249.4393, 4644329.966]",0,W WAVELAND AVE,S,13
2187,1.388888889,0.333333333,B447106,"[446225.4062, 4644334.082]",0,W WAVELAND AVE,N,13
2188,2.392857143,0.428571429,B447108,"[446166.2947, 4644377.601]",0,N HALSTED ST,E,13
2189,5.122807018,0.684210526,B447109,"[446162.7844, 4644470.896]",0,N HALSTED ST,E,13
2190,1.117647059,0.058823529,B447112,"[446281.8739, 4644279.459]",0,N BROADWAY ST,W,13
